PROVIDER_ID,std_COMP_HIP_KNEE,std_HAI_1,std_HAI_2,std_HAI_3,std_HAI_4,std_HAI_5,std_HAI_6,std_PSI_90_SAFETY,C1,C2,C3,C4,C5,C6,C7,C8,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
370218,-0.374518794,0.9776423739,,,,1.1916109066,-0.223142681,0.4265628489,1,1,0,0,0,1,1,1,5,0.2,0.399630931,-0.019030,0.779001,0.5374334384
370220,0.5454079659,,,,,,,0.1569281339,1,0,0,0,0,0,0,1,2,0.5,0.3511680499,-0.019030,0.779001,0.4752218247
370222,0.3920868393,,,,,,,0.0490742479,1,0,0,0,0,0,0,1,2,0.5,0.2205805436,-0.019030,0.779001,0.3075871462
370225,,,,,,,,0.1030011909,0,0,0,0,0,0,0,1,1,1,0.1030011909,-0.019030,0.779001,0.1566509843
370227,,,,,,,-0.74125719,-0.867683783,0,0,0,0,0,0,1,1,2,0.5,-0.804470487,-0.019030,0.779001,-1.00826691
370228,-1.141124426,,,,,,1.0249376044,-0.328414353,1,0,0,0,0,0,1,1,3,0.3333333333,-0.148200392,-0.019030,0.779001,-0.165815519
370234,,0.9776423739,,,,,0.3226046027,-0.166633524,0,1,0,0,0,0,1,1,3,0.3333333333,0.3778711508,-0.019030,0.779001,0.5095004924
370235,1.7719769784,,,,,,1.0249376044,0.6422706209,1,0,0,0,0,0,1,1,3,0.3333333333,1.1463950679,-0.019030,0.779001,1.4960516825
370236,,0.9776423739,1.0287769037,,1.1084136071,,1.0249376044,0.6961975639,0,1,1,0,1,0,1,1,5,0.2,0.9671936106,-0.019030,0.779001,1.2660114625
370237,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
370240,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
370243,,,,,,,,0.1030011909,0,0,0,0,0,0,0,1,1,1,0.1030011909,-0.019030,0.779001,0.1566509843
370244,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371300,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371301,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371302,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371303,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371304,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371305,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371306,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371307,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371309,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371310,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371311,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371312,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371313,,,,,,,1.0249376044,,0,0,0,0,0,0,1,0,1,1,1.0249376044,-0.019030,0.779001,1.3401372048
371314,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371316,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371317,,,-0.587708317,,,,1.0249376044,,0,0,1,0,0,0,1,0,2,0.5,0.2186146435,-0.019030,0.779001,0.3050635278
371318,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371319,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371320,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371321,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371322,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371323,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371325,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371326,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371327,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371328,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371329,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371330,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371331,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371332,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371333,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371334,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371335,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371336,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371337,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371338,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371340,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371341,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
371342,,,-0.433430831,,,,-0.736651728,,0,0,1,0,0,0,1,0,2,0.5,-0.585041279,-0.019030,0.779001,-0.726586482
380001,,,,,,,0.191348927,0.2108550769,0,0,0,0,0,0,1,1,2,0.5,0.2011020019,-0.019030,0.779001,0.2825826174
380002,,0.9776423739,-1.669364918,0.3735045649,,0.119667298,0.5091258261,1.181540051,0,1,1,1,0,1,1,1,6,0.1666666667,0.2486858659,-0.019030,0.779001,0.3436658402
380004,-2.674335692,0.2724173579,0.5916573583,0.9700298995,0.3074387772,0.3993047611,0.0002222412,0.2647820199,1,1,1,1,1,1,1,1,8,0.125,0.0164395904,-0.019030,0.779001,0.0455321914
380005,,,,,,,1.0249376044,0.4265628489,0,0,0,0,0,0,1,1,2,0.5,0.7257502267,-0.019030,0.779001,0.9560715212
380007,,0.273776173,-0.795125827,-0.807508597,,-1.337983156,0.3456319142,-0.004852695,0,1,1,1,0,1,1,1,6,0.1666666667,-0.387677031,-0.019030,0.779001,-0.473230758
380009,1.3120135987,0.0645186538,-1.156820824,-0.465108405,0.460596755,-0.777101118,-0.425783022,-0.975537669,1,1,1,1,1,1,1,1,8,0.125,-0.245402754,-0.019030,0.779001,-0.290593817
380014,0.5454079659,0.1229477014,-1.552799706,-0.268495795,,1.1916109066,-0.08267608,-0.220560467,1,1,1,1,0,1,1,1,7,0.1428571429,-0.037795068,-0.019030,0.779001,-0.02408863
380017,0.2387657127,-0.290132077,-0.116304886,0.951304889,1.1084136071,0.6917991191,-0.377425668,-0.490195182,1,1,1,1,1,1,1,1,8,0.125,0.2145281894,-0.019030,0.779001,0.2998177624
380018,,-1.403001611,-1.137964686,-0.439695891,,0.5535874994,0.8015726825,-0.27448741,0,1,1,1,0,1,1,1,6,0.1666666667,-0.316664903,-0.019030,0.779001,-0.382072762
