PROVIDER_ID,std_EDAC_30_AMI,std_EDAC_30_HF,std_EDAC_30_PN,std_OP_32,std_READM_30_CABG,std_READM_30_COPD,std_READM_30_HIP_KNEE,std_READM_30_HOSP_WIDE,std_OP_35_ADM,std_OP_35_ED,std_OP_36,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
220074,0.5118276569,-0.211839027,-0.263754885,1.3092991276,1.0872245896,-1.325502162,-0.145916815,-0.116807273,-0.590825045,-0.30450707,0.4257342795,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.0340848523,0.013108,0.533730,0.0393027469
220075,,,,,,,,0.0307204863,,,-0.257980078,0,0,0,0,0,0,0,1,0,0,1,2,0.5,-0.113629796,0.013108,0.533730,-0.23745636
220077,-0.023648803,-0.387873876,-1.233902762,0.9015688091,-2.510716752,-3.113134468,0.5308206939,-3.952529011,-0.882865998,1.2106711679,0.4257342795,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.821443338,0.013108,0.533730,-1.563620328
220080,-0.242445636,-0.359327684,0.0523113916,0.9015688091,,-1.62344088,-2.852866853,-0.411862791,,,-0.941694436,1,1,1,1,0,1,1,1,0,0,1,8,0.125,-0.68471976,0.013108,0.533730,-1.30745416
220083,,-0.440208561,-0.053044034,0.4938384906,,0.1641914263,0.5308206939,-1.739612624,,,-0.257980078,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,-0.185999241,0.013108,0.533730,-0.373048214
220084,,0.1069267807,-0.241805838,-1.442880522,,-1.325502162,0.5308206939,-0.55939055,-1.905009335,0.1617016183,0.4257342795,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,-0.472156115,0.013108,0.533730,-0.909193559
220086,-1.054297042,-1.539236943,-1.238292572,0.6977036498,-0.232020569,0.7600688617,0.1924519392,-1.592084864,-1.101896713,0.9775668235,0.4257342795,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.336754832,0.013108,0.533730,-0.655504851
220088,,,,,,,2.5610332219,4.60408102,,,-1.967265972,0,0,0,0,0,0,1,1,0,0,1,3,0.3333333333,1.7326160899,0.013108,0.533730,3.2216817084
220090,-1.463101651,-0.725670478,-0.355940883,0.0861081721,,-2.517257033,1.2075582032,-3.509945733,,,0.4257342795,1,1,1,1,0,1,1,1,0,0,1,8,0.125,-0.85656439,0.013108,0.533730,-1.629423356
220095,,-0.673335793,0.4034961436,1.0035013887,,-2.417944127,1.2075582032,-1.444557105,0.2122875767,0.1617016183,-0.257980078,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,-0.200585797,0.013108,0.533730,-0.400377679
220098,,0.6968814099,0.3025305274,0.6977036498,,0.8593817676,0.0232675619,-1.001973828,,,-0.941694436,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,0.0908709504,0.013108,0.533730,0.1456975425
22009F,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.013108,0.533730,
220100,-0.075469105,0.3971463967,-0.413008405,-0.525487306,,0.0648785204,0.3616363166,-2.034668142,,,0.0838771007,1,1,1,1,0,1,1,1,0,0,1,8,0.125,-0.267636828,0.013108,0.533730,-0.526004918
220101,,-0.045319575,-0.307652979,1.1054339683,,0.7600688617,-1.330207457,-1.001973828,-0.225773853,1.0941189957,1.7931629948,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,0.204650792,0.013108,0.533730,0.3588761795
220105,,-0.587697218,-0.487635165,-0.321622146,,-2.219318315,-2.006944966,-2.919834697,-0.590825045,-0.187954898,0.0838771007,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,-1.026439483,0.013108,0.533730,-1.947702413
220108,,0.3400540132,0.0259725352,1.4112317072,,-0.828937633,1.2075582032,0.7683592821,,,0.0838771007,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,0.4297307441,0.013108,0.533730,0.7805874135
22010F,-0.184867522,-0.259416013,-0.553482306,,,-3.609698998,1.5459269579,-4.10005677,,,,1,1,1,0,0,1,1,1,0,0,0,6,0.1666666667,-1.193599108,0.013108,0.533730,-2.260893753
220110,-0.726101793,-0.211839027,-1.369986854,1.6150968664,0.1277735651,1.5545721089,0.0232675619,-0.116807273,1.7455025813,1.0941189957,0.7675914583,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.4093807447,0.013108,0.533730,0.7424595247
220111,-0.374875298,-1.16813645,-1.084649243,0.7996362295,,-0.630311821,-2.006944966,-3.362417974,,,0.0838771007,1,1,1,1,0,1,1,1,0,0,1,8,0.125,-0.967977803,0.013108,0.533730,-1.838168236
220116,-0.576398696,-0.930251519,0.3332591932,1.5131642868,-1.191471594,-1.12687635,-2.176129343,-1.739612624,0.2122875767,0.627910307,-1.283551615,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.576151852,0.013108,0.533730,-1.104040636
220119,,-0.154746644,-0.294483551,1.3092991276,,1.3559462971,0.8691894486,0.4733037638,0.6503490066,0.7444624792,1.1094486371,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,0.6736409517,0.013108,0.533730,1.2375791344
220126,,,,,,,,,-0.225773853,-0.770715759,,0,0,0,0,0,0,0,0,1,1,0,2,0.5,-0.498244806,0.013108,0.533730,-0.958073497
