PROVIDER_ID,std_H_COMP_1_STAR_RATING,std_H_COMP_2_STAR_RATING,std_H_COMP_3_STAR_RATING,std_H_COMP_5_STAR_RATING,std_H_COMP_6_STAR_RATING,std_H_COMP_7_STAR_RATING,std_H_GLOB_STAR_RATING,std_H_INDI_STAR_RATING,C1,C2,C3,C4,C5,C6,C7,C8,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010125,1.5777071423,0.5707605124,1.6495079648,1.7914908957,0.6784137042,0.9331768019,1.6647544446,2.0565446049,1,1,1,1,1,1,1,1,8,0.125,1.3652945088,7.533033E-17,0.866021,1.576513564
010126,1.5777071423,0.5707605124,1.6495079648,1.7914908957,0.6784137042,0.9331768019,0.2466798521,1.5474925688,1,1,1,1,1,1,1,1,8,0.125,1.1244036803,7.533033E-17,0.866021,1.2983555137
010128,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010129,1.5777071423,0.5707605124,0.70891858,1.7914908957,-0.312251048,0.9331768019,0.7193713829,2.0565446049,1,1,1,1,1,1,1,1,8,0.125,1.005714859,7.533033E-17,0.866021,1.1613048367
010130,1.5777071423,0.5707605124,1.6495079648,0.7686551275,1.6690784566,0.9331768019,1.6647544446,1.5474925688,1,1,1,1,1,1,1,1,8,0.125,1.2976416274,7.533033E-17,0.866021,1.4983943856
010131,-1.154063558,-0.436147184,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-1.17139474,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-1.065141502,7.533033E-17,0.866021,-1.229925129
010138,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010139,-1.154063558,-0.436147184,-2.112849574,-1.277016409,-1.3029158,-1.00956652,-2.116777802,-1.506819647,1,1,1,1,1,1,1,1,8,0.125,-1.364519562,7.533033E-17,0.866021,-1.575618728
010144,-0.243473324,0.5707605124,-0.231670805,-0.254180641,0.6784137042,-0.038194859,0.7193713829,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,0.0254072949,7.533033E-17,0.866021,0.0293379522
010148,0.6671169089,1.5776682088,-0.231670805,1.7914908957,1.6690784566,-0.038194859,0.2466798521,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.7764446443,7.533033E-17,0.866021,0.8965651774
010149,0.6671169089,0.5707605124,0.70891858,0.7686551275,0.6784137042,-0.038194859,1.1920629137,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.634640173,7.533033E-17,0.866021,0.732822724
01014F,0.6671169089,1.5776682088,-0.231670805,0.7686551275,-0.312251048,0.9331768019,0.7193713829,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.5814318842,7.533033E-17,0.866021,0.6713828014
010150,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010157,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010158,-1.154063558,1.5776682088,-1.17226019,-1.277016409,0.6784137042,-1.00956652,-0.69870321,1.5474925688,1,1,1,1,1,1,1,1,8,0.125,-0.188504426,7.533033E-17,0.866021,-0.217667164
010164,-0.243473324,0.5707605124,-0.231670805,0.7686551275,-0.312251048,-1.00956652,-0.226011679,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,-0.019271155,7.533033E-17,0.866021,-0.022252515
010168,1.5777071423,1.5776682088,1.6495079648,1.7914908957,0.6784137042,1.904548463,1.6647544446,1.5474925688,1,1,1,1,1,1,1,1,8,0.125,1.548947924,7.533033E-17,0.866021,1.7885792379
010169,0.6671169089,0.5707605124,1.6495079648,0.7686551275,1.6690784566,-0.038194859,-0.69870321,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.6397011748,7.533033E-17,0.866021,0.7386666923
010173,1.5777071423,1.5776682088,1.6495079648,1.7914908957,1.6690784566,1.904548463,1.6647544446,1.5474925688,1,1,1,1,1,1,1,1,8,0.125,1.6727810181,7.533033E-17,0.866021,1.9315700367
010174,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010175,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
01019F,0.6671169089,1.5776682088,0.70891858,0.7686551275,-1.3029158,-0.038194859,0.2466798521,1.0384405328,1,1,1,1,1,1,1,1,8,0.125,0.4582960688,7.533033E-17,0.866021,0.5291971542
01021F,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
011300,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
011302,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
011304,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
011305,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
011306,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
020001,0.6671169089,-0.436147184,-0.231670805,-0.254180641,0.6784137042,-0.038194859,0.2466798521,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,0.0179126751,7.533033E-17,0.866021,0.0206838709
020006,0.6671169089,0.5707605124,-0.231670805,0.7686551275,0.6784137042,-0.038194859,0.7193713829,1.0384405328,1,1,1,1,1,1,1,1,8,0.125,0.5216115631,7.533033E-17,0.866021,0.6023079262
020008,0.6671169089,0.5707605124,0.70891858,0.7686551275,0.6784137042,0.9331768019,-0.226011679,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.5788023066,7.533033E-17,0.866021,0.6683464127
020012,-0.243473324,0.5707605124,0.70891858,0.7686551275,0.6784137042,-0.038194859,0.2466798521,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.4026435112,7.533033E-17,0.866021,0.46493482
020017,-1.154063558,-0.436147184,-0.231670805,-1.277016409,0.6784137042,-0.038194859,-0.226011679,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-0.396675796,7.533033E-17,0.866021,-0.458043864
020018,-1.154063558,-0.436147184,-1.17226019,-0.254180641,-1.3029158,-1.980938182,-1.17139474,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-0.995076984,7.533033E-17,0.866021,-1.14902122
020024,-0.243473324,0.5707605124,-0.231670805,0.7686551275,1.6690784566,0.9331768019,0.7193713829,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,0.5257793266,7.533033E-17,0.866021,0.6071204672
020026,-1.154063558,0.5707605124,-0.231670805,0.7686551275,-0.312251048,-0.038194859,-0.69870321,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-0.198022927,7.533033E-17,0.866021,-0.228658233
021301,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021302,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021304,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021305,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021306,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021307,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021308,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021309,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021310,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021311,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021312,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021313,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
021314,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
030002,-0.243473324,-0.436147184,-0.231670805,-0.254180641,-0.312251048,-1.00956652,-0.226011679,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.463883602,7.533033E-17,0.866021,-0.535649111
030006,-0.243473324,-1.44305488,-1.17226019,-0.254180641,-0.312251048,-1.00956652,-0.226011679,-2.015871683,1,1,1,1,1,1,1,1,8,0.125,-0.834583746,7.533033E-17,0.866021,-0.963698738
030007,-0.243473324,-0.436147184,0.70891858,-0.254180641,-0.312251048,-1.00956652,-0.69870321,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,-0.214501856,7.533033E-17,0.866021,-0.24768655
030010,-1.154063558,-0.436147184,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-1.644086271,-1.506819647,1,1,1,1,1,1,1,1,8,0.125,-1.187859447,7.533033E-17,0.866021,-1.37162826
030011,-2.064653791,-2.449962577,-2.112849574,-2.299852177,-1.3029158,-1.980938182,-2.116777802,-2.015871683,1,1,1,1,1,1,1,1,8,0.125,-2.042977698,7.533033E-17,0.866021,-2.359038311
030012,-0.243473324,-1.44305488,0.70891858,-0.254180641,-0.312251048,-1.00956652,-0.69870321,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.531259832,7.533033E-17,0.866021,-0.613448839
030013,-1.154063558,-1.44305488,-0.231670805,-1.277016409,-1.3029158,-1.00956652,-1.17139474,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,-0.882536777,7.533033E-17,0.866021,-1.019070384
030014,-0.243473324,-0.436147184,-0.231670805,-0.254180641,0.6784137042,-0.038194859,-0.226011679,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-0.154997545,7.533033E-17,0.866021,-0.178976573
