PROVIDER_ID,std_MORT_30_AMI,std_MORT_30_CABG,std_MORT_30_COPD,std_MORT_30_HF,std_MORT_30_PN,std_MORT_30_STK,std_PSI_4_SURG_COMP,C1,C2,C3,C4,C5,C6,C7,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
250099,-1.336110308,,0.4815349283,-0.505642302,-1.524470236,-2.272243133,,1,0,1,1,1,1,0,5,0.2,-1.03138621,-0.073484,0.730255,-1.311736973
250100,-1.257766494,-0.804640966,-1.240839004,-1.800974446,-1.593561403,-0.243211617,0.1318054701,1,1,1,1,1,1,1,7,0.1428571429,-0.972741209,-0.073484,0.730255,-1.231429425
250102,-1.884517004,-0.684276534,0.3490446258,0.0032381832,0.4791736131,0.9848864065,1.0424192158,1,1,1,1,1,1,1,7,0.1428571429,0.0414240723,-0.073484,0.730255,0.1573526355
250104,-1.022735052,-5.017396082,0.5477800796,-0.45938044,-1.939017239,-0.456793881,-1.788028971,1,1,1,1,1,1,1,7,0.1428571429,-1.447938798,-0.073484,0.730255,-1.882157566
250117,,,-1.174593853,0.3270712192,-1.939017239,,,0,0,1,1,1,0,0,3,0.3333333333,-0.928846624,-0.073484,0.730255,-1.171320869
250123,-1.806173191,,-2.102025971,0.14202377,-0.695376229,,,1,0,1,1,1,0,0,4,0.25,-1.115387905,-0.073484,0.730255,-1.426767579
250124,,,-0.909613248,0.8359517043,-0.902649731,,,0,0,1,1,1,0,0,3,0.3333333333,-0.325437092,-0.073484,0.730255,-0.3450213
250127,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
250134,,,,,-1.075377649,,,0,0,0,0,1,0,0,1,1,-1.075377649,-0.073484,0.730255,-1.371978161
250136,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
250138,-0.866047425,,,-0.968260925,-0.039010141,,,1,0,0,1,1,0,0,3,0.3333333333,-0.624439497,-0.073484,0.730255,-0.754470513
250141,-0.239296914,0.2786389211,-0.644632643,0.2345474946,-0.31537481,0.8246997078,0.4349146594,1,1,1,1,1,1,1,7,0.1428571429,0.0819280595,-0.073484,0.730255,0.2128181616
250151,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
250162,,,,-0.968260925,0.7900838655,,,0,0,0,1,1,0,0,2,0.5,-0.08908853,-0.073484,0.730255,-0.021369279
250167,1.2492355489,,0.4152897771,-0.644427889,-1.040832065,-1.898474169,,1,0,1,1,1,1,0,5,0.2,-0.38384176,-0.073484,0.730255,-0.424999738
250168,,,-1.505819609,0.9284754289,-2.42265541,-0.296607183,,0,0,1,1,1,1,0,4,0.25,-0.824151693,-0.073484,0.730255,-1.027953269
